,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
196,Fiji,27,0,1,0,18,0,8,0,30,1,6693,7461,897095,33226,897095,134,Australia/Oceania
197,Saint Lucia,25,0,0,0,24,0,1,0,136,0,3895,21202,183712,7348,0,47,North America
198,Timor-Leste,25,0,0,0,24,0,1,0,19,0,4238,3209,1320812,52832,0,312,Asia
199,Grenada,24,0,0,0,23,0,1,0,213,0,6252,55536,112576,4691,0,18,North America
200,New Caledonia,22,0,0,0,22,0,0,0,77,0,11099,38839,285769,12990,0,26,Australia/Oceania
201,Laos,20,0,0,0,19,0,1,0,3,0,29904,4104,7285750,364288,0,244,Asia
202,Dominica,18,0,0,0,18,0,0,0,250,0,1005,13958,72004,4000,0,72,North America
203,Saint Kitts and Nevis,17,0,0,0,16,0,1,0,319,0,1146,21526,53237,3132,0,46,North America
204,Greenland,14,0,0,0,14,0,0,0,247,0,5999,105653,56780,4056,0,9,North America
205,Montserrat,13,0,1,0,10,0,2,0,2604,200,61,12220,4992,384,4992,82,North America
206,Falkland Islands,13,0,0,0,13,0,0,0,3726,0,1816,520493,3489,268,0,2,South America
207,Caribbean Netherlands,13,0,0,0,7,0,6,0,495,0,424,16154,26247,2019,0,62,North America
208,Vatican City,12,0,0,0,12,0,0,0,14981,0,0,0,801,67,0,0,Europe
209,Western Sahara,10,0,1,0,8,0,1,0,17,2,0,0,598682,59868,598682,0,Africa
210,MS Zaandam,9,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,
211,British Virgin Islands,9,0,1,0,7,0,1,0,298,33,1522,50312,30251,3361,30251,20,North America
212,St. Barth,9,0,0,0,6,0,3,0,911,0,1246,126113,9880,1098,0,8,North America
213,Saint Pierre Miquelon,4,0,0,0,1,0,3,0,691,0,0,0,5791,1448,0,0,North America
214,Anguilla,3,0,0,0,3,0,0,0,200,0,537,35762,15016,5005,0,28,North America
